"Year","Index_corruption","Index_democracy","Index_hr","PISA","Gini_economic_inequality","Population_internet","Emigration","num_army_forces","expenditure_education","military_expenditure"
1789,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1790,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1791,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1792,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1793,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1794,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1795,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1796,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1797,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1798,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1799,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1800,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1801,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1802,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1803,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1804,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1805,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1806,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1807,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1808,NA,0.026,0.213,NA,NA,NA,NA,NA,NA,NA
1809,NA,0.026,0.301,NA,NA,NA,NA,NA,NA,NA
1810,NA,0.029,0.284,NA,NA,NA,NA,NA,NA,NA
1811,NA,0.029,0.284,NA,NA,NA,NA,NA,NA,NA
1812,NA,0.036,0.316,NA,NA,NA,NA,NA,NA,NA
1813,NA,0.051,0.312,NA,NA,NA,NA,NA,NA,NA
1814,NA,0.051,0.312,NA,NA,NA,NA,NA,NA,NA
1815,NA,0.051,0.312,NA,NA,NA,NA,NA,NA,NA
1816,NA,0.038,0.27,NA,NA,NA,NA,NA,NA,NA
1817,NA,0.038,0.27,NA,NA,NA,NA,NA,NA,NA
1818,NA,0.038,0.27,NA,NA,NA,NA,NA,NA,NA
1819,NA,0.038,0.27,NA,NA,NA,NA,NA,NA,NA
1820,NA,0.046,0.306,NA,NA,NA,NA,NA,NA,NA
1821,NA,0.09,0.403,NA,NA,NA,NA,NA,NA,NA
1822,NA,0.147,0.392,NA,NA,NA,NA,NA,NA,NA
1823,NA,0.174,0.392,NA,NA,NA,NA,NA,NA,NA
1824,NA,0.178,0.393,NA,NA,NA,NA,NA,NA,NA
1825,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1826,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1827,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1828,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1829,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1830,NA,0.147,0.435,NA,NA,NA,NA,NA,NA,NA
1831,NA,0.147,0.435,NA,NA,NA,NA,NA,NA,NA
1832,NA,0.159,0.435,NA,NA,NA,NA,NA,NA,NA
1833,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1834,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1835,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1836,NA,0.178,0.435,NA,NA,NA,NA,NA,NA,NA
1837,NA,0.159,0.435,NA,NA,NA,NA,NA,NA,NA
1838,NA,0.159,0.435,NA,NA,NA,NA,NA,NA,NA
1839,NA,0.159,0.435,NA,NA,NA,NA,NA,NA,NA
1840,NA,0.159,0.435,NA,NA,NA,NA,NA,NA,NA
1841,NA,0.152,0.435,NA,NA,NA,NA,NA,NA,NA
1842,NA,0.183,0.435,NA,NA,NA,NA,NA,NA,NA
1843,NA,0.226,0.435,NA,NA,NA,NA,NA,NA,NA
1844,NA,0.226,0.435,NA,NA,NA,NA,NA,NA,NA
1845,NA,0.226,0.435,NA,NA,NA,NA,NA,NA,NA
1846,NA,0.193,0.435,NA,NA,NA,NA,NA,NA,NA
1847,NA,0.211,0.435,NA,NA,NA,NA,NA,NA,NA
1848,NA,0.226,0.435,NA,NA,NA,NA,NA,NA,NA
1849,NA,0.226,0.435,NA,NA,NA,NA,NA,NA,NA
1850,NA,0.192,0.385,NA,NA,NA,NA,NA,NA,NA
1851,NA,0.192,0.385,NA,NA,NA,NA,NA,NA,NA
1852,NA,0.192,0.385,NA,NA,NA,NA,NA,NA,NA
